% Model:              Main1-recovery1.mph
% Version:            COMSOL 6.3.0.290
% Date:               Nov 13 2025, 18:50
% Table:              Table 4 - Global Evaluation 2
% mesh_scale                                      Eigenfrequency (THz)                              Quality factor (1)
1.2                                               472.52754216215897+2.4841826968095493i            95.10724448105789
1.2                                               472.96405520284856+3.9197005068712505i            60.33165727505721
1.2                                               473.2091466074512+1.4814797775170303i             159.70827067263542
1.2                                               473.35279362973904+2.1090250838757134i            112.2207595463654
1.2                                               473.3966275418137+3.3844960990075195i             69.93605749473815
1.2                                               474.04383965406504+1.6943029690612832i            139.89346896933841
1.4                                               466.81531297976494+1.643904664196064i             141.983693807468
1.4                                               467.827798113472+2.1520202029717796i              108.69502931883181
1.4                                               468.13104777210424+2.477983276905377i             94.45807244444532
1.4                                               468.27306934505117+1.359882106440702i             172.17414183450407
1.4                                               468.54600211184953+2.2185597642237913i            105.59688534597127
1.4                                               468.89949196360936+3.453073831151736i             67.89595515355849
1.4                                               469.20757930251835+1.6577107713052808i            141.52275156330936
1.4                                               470.1241215991211+2.7853537870062217i             84.39217376842173
1.4                                               470.24914038624655+3.9351202051832908i            59.75028917373862
1.4                                               470.7391826284215+2.1258605684144194i             110.71732305085371
1.4                                               470.77776702822155+1.3808492445341525i            170.46675040440223
1.4                                               471.1717322396331+2.8108877531721976i             83.81190812544848
1.4                                               471.5781422769429+1.6356405526546813i             144.15702200326382
1.4                                               472.1202183466504+2.1459580567505916i             110.00220084952045
1.4                                               472.5248724967906+2.4684676938339227i             95.71218486616779
1.4                                               472.9677821239228+3.7701764679696947i             62.72488650625738
1.4                                               473.17451259984847+1.4815779236475732i            159.686002689253
1.4                                               473.2236464109322+2.0807026367888524i             113.71726984045593
1.4                                               473.37806291536486+3.3826704382433883i            69.97105859966496
1.4                                               474.0044127452471+1.6923503725847109i             140.0432263980019
1.6                                               466.7768800555354+1.6427848111423955i             142.06878371700367
1.6                                               467.8255828518009+2.15081357635838i               108.75549326871308
1.6                                               468.1279928585112+2.477202253821927i              94.48723699008923
1.6                                               468.2637762980574+1.35991581075773i               172.16645787695708
1.6                                               468.51352763600966+2.214313971184891i             105.79202717700093
1.6                                               468.8932096372449+3.4512517297015117i             67.93089092892654
1.6                                               469.19882746250687+1.658054107622794i             141.49080699640513
1.6                                               470.09658511055187+2.7841376353679514i            84.42409224650704
1.6                                               470.23981144767043+3.933647391517258i             59.77147474653199
1.6                                               470.7311104328385+2.1254256047718396i             110.73808214599225
1.6                                               470.74167665307203+1.379295860153235i             170.64564980307208
1.6                                               471.14697859638835+2.7917303650536653i            84.38260809391087
1.6                                               471.5422088099295+1.6353812437675233i             144.1688935246714
1.6                                               472.11781607036136+2.1453466277539004i            110.03299186310313
1.6                                               472.5216252709324+2.4667655205709984i             95.77757215480187
1.6                                               472.93568588225304+3.7519428828243093i            63.02543784012063
1.6                                               473.1661261446394+1.48211236814499i               159.6255912555583
1.6                                               473.1909087842743+2.07326899530674i               114.11710440262138
1.6                                               473.37257978852773+3.3809621072716762i            70.00560266120871
1.6                                               473.9965749277395+1.6931429959413546i             139.97535236656327
1.8                                               466.75643786993237+1.6430463816759309i            142.0399457603364
1.8                                               467.8242588755718+2.150225733621029i              108.78491768576899
1.8                                               468.12695249177654+2.4760322010839437i            94.53167698845809
1.8                                               468.2589817224746+1.3602341716948552i             172.12440014612434
1.8                                               468.4955810118879+2.2126417850880404i             105.86792316977929
1.8                                               468.8901327140773+3.45038470183323i               67.94751502128885
1.8                                               469.1936713291178+1.658396124725635i              141.4600722751753
1.8                                               470.0805546598942+2.780386665612914i              84.53510450070237
1.8                                               470.23421123301534+3.9315614333379187i            59.80247532769489
1.8                                               470.72257551160305+1.3793362259799031i            170.63373187969233
1.8                                               470.72633392280176+2.1258313043322055i            110.7158251370921
1.8                                               471.13409723961644+2.7775370797401036i            84.81148652814761
1.8                                               471.5222053746596+1.6355169128820959i             144.1508191265802
1.8                                               472.1157146721046+2.144705259119413i              110.06540704477707
1.8                                               472.5207576370677+2.46523936510743i               95.83668919234465
1.8                                               472.93164858096804+3.7379980851832775i            63.260017501825416
1.8                                               473.1614127591963+1.4824417007828536i             159.58853980879226
1.8                                               473.1718595100014+2.069921035229253i              114.2970798056544
1.8                                               473.36880904326813+3.3812641746962244i            69.99879107135956
1.8                                               473.99161903659274+1.6933844277378418i            139.95393227685122
