% Model:              Main1-recovery1.mph
% Version:            COMSOL 6.3.0.290
% Date:               Nov 13 2025, 18:33
% Table:              Table 1 - 
% mesh_scale                                      Eigenfrequency (THz)                              Frequency (THz)                                   Quality factor (1)                                Frequency (THz)                                   Quality factor (1)                                Frequency (THz)                                   Quality factor (1)
1                                                 471.01618927064806+1.391808846405834i             471.01618927064806                                169.21008602833152                                471.01618927064806                                169.21008602833152                                471.01618927064806                                169.21008602833152
1                                                 471.3308974417682+2.9868582336050142i             471.3308974417682                                 78.9007814530406                                  471.3308974417682                                 78.9007814530406                                  471.3308974417682                                 78.9007814530406
1                                                 471.83396215045747+1.6398399338406107i            471.83396215045747                                143.86585922608677                                471.83396215045747                                143.86585922608677                                471.83396215045747                                143.86585922608677
1                                                 472.14227906524553+2.155655966720507i             472.14227906524553                                109.5124375953961                                 472.14227906524553                                109.5124375953961                                 472.14227906524553                                109.5124375953961
1                                                 472.5373100859288+2.4884274229132144i             472.5373100859288                                 94.9469744897617                                  472.5373100859288                                 94.9469744897617                                  472.5373100859288                                 94.9469744897617
1                                                 473.23560644803365+1.4805986430659557i            473.23560644803365                                159.81225184297045                                473.23560644803365                                159.81225184297045                                473.23560644803365                                159.81225184297045
1                                                 473.41763910653935+3.3874881335389695i            473.41763910653935                                69.87738708503629                                 473.41763910653935                                69.87738708503629                                 473.41763910653935                                69.87738708503629
1                                                 473.4600800518946+2.1266391712001544i             473.4600800518946                                 111.31650504318995                                473.4600800518946                                 111.31650504318995                                473.4600800518946                                 111.31650504318995
1                                                 474.068499432269+1.6917463028932003i              474.068499432269                                  140.11217244025414                                474.068499432269                                  140.11217244025414                                474.068499432269                                  140.11217244025414
1.2                                               466.94706188223097+1.6477137786181404i            466.94706188223097                                141.6954412658482                                 466.94706188223097                                141.6954412658482                                 466.94706188223097                                141.6954412658482
1.2                                               467.84141451954537+2.1601264996983955i            467.84141451954537                                108.2902817462003                                 467.84141451954537                                108.2902817462003                                 467.84141451954537                                108.2902817462003
1.2                                               468.13512598941173+2.4898654668413975i            468.13512598941173                                94.00811654761418                                 468.13512598941173                                94.00811654761418                                 468.13512598941173                                94.00811654761418
1.2                                               468.3048419924682+1.3603543483943012i             468.3048419924682                                 172.12605029903915                                468.3048419924682                                 172.12605029903915                                468.3048419924682                                 172.12605029903915
1.2                                               468.6727154039782+2.246723118875264i              468.6727154039782                                 104.30139599013012                                468.6727154039782                                 104.30139599013012                                468.6727154039782                                 104.30139599013012
1.2                                               468.92111388233786+3.462992762280118i             468.92111388233786                                67.70460495759005                                 468.92111388233786                                67.70460495759005                                 468.92111388233786                                67.70460495759005
1.2                                               469.24445242656236+1.6589132691606503i            469.24445242656236                                141.43127948575122                                469.24445242656236                                141.43127948575122                                469.24445242656236                                141.43127948575122
1.2                                               470.22903274434987+2.8457966795626417i            470.22903274434987                                82.61817088363063                                 470.22903274434987                                82.61817088363063                                 470.22903274434987                                82.61817088363063
1.2                                               470.30205009592703+3.936115217599441i             470.30205009592703                                59.741905927077376                                470.30205009592703                                59.741905927077376                                470.30205009592703                                59.741905927077376
1.2                                               470.7707936515173+2.1308412436245936i             470.7707936515173                                 110.46594744213064                                470.7707936515173                                 110.46594744213064                                470.7707936515173                                 110.46594744213064
1.2                                               470.89805568726143+1.383999959700038i             470.89805568726143                                170.1221348985161                                 470.89805568726143                                170.1221348985161                                 470.89805568726143                                170.1221348985161
1.2                                               471.2874130000338+2.91556372901539i               471.2874130000338                                 80.8226910476746                                  471.2874130000338                                 80.8226910476746                                  471.2874130000338                                 80.8226910476746
1.2                                               471.7148300842307+1.64220430867542i               471.7148300842307                                 143.6224553766728                                 471.7148300842307                                 143.6224553766728                                 471.7148300842307                                 143.6224553766728
1.2                                               472.13548554976416+2.154438637251888i             472.13548554976416                                109.57273913171194                                472.13548554976416                                109.57273913171194                                472.13548554976416                                109.57273913171194
